"origin","destination","distance","duration"
"B0FFK83QI3","B0HDRHT0UU",43.305,0.783333333333333
"B0FFK83QI3","B0FFL9Q85P",13.405,0.483333333333333
"B0FFK83QI3","B0G0ZLYTOF",38.138,1.16666666666667
"B0FFK83QI3","B0G1AO0IBH",59.699,0.966666666666667
"B0FFK83QI3","B0FFH4SOJP",52.186,0.85
"B0FFK83QI3","B0FFFRS0IH",22.863,0.45
"B0FFK83QI3","B0FFLC9J93",54.273,1.16666666666667
"B0FFK83QI3","B0G0NZW2VU",50.994,1.3
"B0FFK83QI3","B0G13KYBJL",39.765,0.7
"B0FFK83QI3","B00190CNHV",43.24,1.21666666666667
"B0FFK83QI3","B0FFH1DRA5",18.207,0.45
"B0FFK83QI3","B0FFL9CGXN",35.579,1.15
"B0FFK83QI3","B0FFH70JG8",29.004,0.516666666666667
"B0FFK83QI3","B0FFHXJXZR",113.857,1.45
"B0FFK83QI3","B0FFF8Z69A",108.081,1.61666666666667
"B0FFK83QI3","B0FFGYNGHQ",133.143,1.65
"B0FFK83QI3","B0GUAXEBYM",138.287,1.68333333333333
"B0FFK83QI3","B0FFHCRHH3",115.072,1.7
"B0FFK83QI3","B0FFG9F43K",123.273,1.43333333333333
"B0FFK83QI3","B0FFGTI293",90.478,1.1
"B0FFK83QI3","B0FFHE4XO4",115.477,1.8
"B0FFK83QI3","B0FFK4CQ2L",124.951,1.86666666666667
"B0FFK83QI3","B0FFJONTQ7",97.819,1.31666666666667
"B0FFK83QI3","B0FFHJD9U9",144.349,1.81666666666667
"B0FFK83QI3","B0FFHF2VI7",157.775,2.13333333333333
"B0FFK83QI3","B0FFK7ZQFN",167.161,2.01666666666667
"B0FFK83QI3","B0FFFU612V",143.305,1.76666666666667
"B0FFK83QI3","B0FFITJD3C",182.82,2.73333333333333
"B0FFK83QI3","B0FFFTQ4U7",170.887,2.18333333333333
"B0FFK83QI3","B01FE15XQH",132.314,2.01666666666667
"B0FFK83QI3","B0FFL7OZ0J",175.029,2.21666666666667
"B0FFK83QI3","B0FFGZQ43R",162.851,2
"B0FFK83QI3","B01FE15UUN",185.674,2.23333333333333
"B0FFK83QI3","B0FFJN8WFQ",174.813,2.15
"B0FFK83QI3","B01FE0J0V7",143.188,1.86666666666667
"B0FFK83QI3","B0FFHDQA5M",217.657,2.58333333333333
"B0FFK83QI3","B0FFGAIWAV",241.832,2.76666666666667
"B0FFK83QI3","B0GDDXZDXN",236.767,2.65
"B0FFK83QI3","B0FFFOM198",189.517,2.26666666666667
