"id","origin","org_city","org_district","destination","dest_city","dest_district","distance","duration","case","pallet","to","dayo","td","dayd","LTL"
1,"B0FFL9Q85P","Nanjing","江宁区","B0FFGO36Q6","Shanghai","浦东新区",321.786,3.88333333333333,"JS",4,"08:00","day 0","20:00","day 0",1509.736376
2,"B0FFH1DRA5","Nanjing","栖霞区","B0FFI9JCED","Shanghai","青浦区",279.893,3.33333333333333,"JS",18,"08:00","day 0","20:00","day 0",6793.813692
3,"B01FE0J0V7","Wuxi","惠山区","B0FFGO36Q6","Shanghai","浦东新区",181.345,2.45,"JS",18,"08:00","day 0","20:00","day 0",6793.813692
4,"B01FE0J0V7","Wuxi","惠山区","B0FFKZGWZ9","Suzhou","太仓市",128.04,1.8,"JS",11,"08:00","day 0","20:00","day 0",4151.775034
5,"B0FFHF2VI7","Wuxi","锡山区","B00156GGDT","Shanghai","闵行区",153.27,2.23333333333333,"JS",16,"12:00","day 0","24:00","day 0",6038.945504
6,"B01FE15UUN","Wuxi","江阴市","B0FFJ1CPHP","Shanghai","嘉定区",99.921,1.5,"JS",14,"12:00","day 0","24:00","day 0",5284.077316
7,"B01FE15UUN","Wuxi","江阴市","B0FFH62FC9","Shanghai","金山区",157.705,2.08333333333333,"JS",13,"12:00","day 0","24:00","day 0",4906.643222
8,"B0G13KYBJL","Nanjing","六合区","B0FFGPRVIT","Shanghai","松江区",319.637,3.81666666666667,"JS",16,"12:00","day 0","24:00","day 0",6038.945504
9,"B0G0ZLYTOF","Nanjing","栖霞区","B0FFFTQ4U7","Wuxi","江阴市",174.052,2.7,"JS",11,"08:00","day 0","20:00","day 0",4151.775034
10,"B0FFFRS0IH","Nanjing","江宁区","B0G2MKTPMP","Shanghai","松江区",275.923,3.3,"JS",9,"12:00","day 0","24:00","day 0",3396.906846
11,"B0FFL7OZ0J","Wuxi","锡山区","B00156D6K6","Shanghai","浦东新区",161.802,2.18333333333333,"JS",5,"12:00","day 0","24:00","day 0",1887.17047
12,"B0FFHE4XO4","Changzhou","武进区","B0FFGIBTXI","Suzhou","太仓市",137.863,2.13333333333333,"JS",20,"12:00","day 0","24:00","day 0",7548.68188
13,"B01FE0J0V7","Wuxi","惠山区","B0FFLCF954","Shanghai","宝山区",143.827,2.35,"JS",19,"08:00","day 0","20:00","day 0",7171.247786
14,"B0FFLC9J93","Nanjing","浦口区","B0FFKZGWZ9","Suzhou","太仓市",290.245,3.88333333333333,"JS",20,"12:00","day 0","24:00","day 0",7548.68188
15,"B0FFFRS0IH","Nanjing","江宁区","B0FFGPRVIT","Shanghai","松江区",288.128,3.5,"JS",17,"08:00","day 0","20:00","day 0",6416.379598
16,"B0FFLC9J93","Nanjing","浦口区","B0FFGIBTXI","Suzhou","太仓市",288.607,3.86666666666667,"JS",13,"12:00","day 0","24:00","day 0",4906.643222
17,"B0HDRHT0UU","Nanjing","浦口区","B0FFGIBTXI","Suzhou","太仓市",276.579,3.38333333333333,"JS",6,"08:00","day 0","20:00","day 0",2264.604564
18,"B0G0NZW2VU","Nanjing","江宁区","B0FFJRVTYE","Shanghai","松江区",299.388,3.33333333333333,"JS",12,"12:00","day 0","24:00","day 0",4529.209128
19,"B0FFK83QI3","Nanjing","江宁区","B0FFGPRVIT","Shanghai","松江区",283.879,3.28333333333333,"JS",4,"12:00","day 0","24:00","day 0",1509.736376
20,"B0FFJONTQ7","Changzhou","新北区","B0FFGO36Q6","Shanghai","浦东新区",218.262,2.88333333333333,"JS",11,"12:00","day 0","24:00","day 0",4151.775034
21,"B0FFGTI293","Changzhou","新北区","B0FFGO36Q6","Shanghai","浦东新区",224.433,2.93333333333333,"JS",19,"08:00","day 0","20:00","day 0",7171.247786
22,"B0GUAXEBYM","Changzhou","武进区","B00156D6K6","Shanghai","浦东新区",199.361,2.48333333333333,"JS",16,"08:00","day 0","20:00","day 0",6038.945504
23,"B0FFFU612V","Wuxi","江阴市","B0FFKSVI1S","Shanghai","奉贤区",180.174,2.46666666666667,"JS",10,"08:00","day 0","20:00","day 0",3774.34094
24,"B0FFK4CQ2L","Changzhou","武进区","B0IG9RDYYV","Suzhou","吴中区",110.237,1.7,"JS",16,"08:00","day 0","20:00","day 0",6038.945504
25,"B0FFF8Z69A","Changzhou","钟楼区","B0FFKSVI1S","Shanghai","奉贤区",220.211,3.03333333333333,"JS",18,"08:00","day 0","20:00","day 0",6793.813692
26,"B0FFHXJXZR","Changzhou","溧阳市","B01FE0J0V7","Wuxi","惠山区",95.374,1.38333333333333,"JS",14,"12:00","day 0","24:00","day 0",5284.077316
27,"B0FFG2575E","Zhenjiang","润州区","B0IG9RDYYV","Suzhou","吴中区",190.64,2.45,"JS",14,"12:00","day 0","24:00","day 0",5284.077316
28,"B0FFHXJXZR","Changzhou","溧阳市","B0FFHF2VI7","Wuxi","锡山区",111.414,1.76666666666667,"JS",8,"08:00","day 0","20:00","day 0",3019.472752
29,"B0FFHXJXZR","Changzhou","溧阳市","B0FFG94S3Z","Shanghai","浦东新区",246.933,2.95,"JS",17,"12:00","day 0","24:00","day 0",6416.379598
30,"B0FFITJD3C","Wuxi","锡山区","B0FFI9JCED","Shanghai","青浦区",109.624,1.63333333333333,"JS",11,"12:00","day 0","24:00","day 0",4151.775034
31,"B0FFL7OZ0J","Wuxi","锡山区","B0FFL37B6B","Suzhou","昆山市",101.889,1.56666666666667,"JS",4,"12:00","day 0","24:00","day 0",1509.736376
32,"B0FFITJD3C","Wuxi","锡山区","B0FFKSVI1S","Shanghai","奉贤区",147.085,2.05,"JS",7,"08:00","day 0","20:00","day 0",2642.038658
33,"B0FFHF2VI7","Wuxi","锡山区","B0FFI9JCED","Shanghai","青浦区",116.785,1.81666666666667,"JS",10,"08:00","day 0","20:00","day 0",3774.34094
34,"B0FFL7OZ0J","Wuxi","锡山区","B0FFI9JCED","Shanghai","青浦区",121.232,1.8,"JS",15,"08:00","day 0","20:00","day 0",5661.51141
35,"B0FFF8Z69A","Changzhou","钟楼区","B02000JR6M","Suzhou","相城区",105.505,1.71666666666667,"JS",17,"12:00","day 0","24:00","day 0",6416.379598
36,"B0FFF8Z69A","Changzhou","钟楼区","B0FFHJD9U9","Wuxi","惠山区",61.732,1.33333333333333,"JS",7,"08:00","day 0","20:00","day 0",2642.038658
37,"B0FFF4HNKG","Yangzhou","邗江区","B0FFLCF954","Shanghai","宝山区",247.853,3.41666666666667,"JS",9,"12:00","day 0","24:00","day 0",3396.906846
38,"B0G13KYBJL","Nanjing","六合区","B0FFKDRXE8","Shanghai","浦东新区",365.282,4.4,"JS",13,"12:00","day 0","24:00","day 0",4906.643222
39,"B01FE0J0V7","Wuxi","惠山区","B0FFHY6PN3","Suzhou","常熟市",97.094,1.51666666666667,"JS",13,"12:00","day 0","24:00","day 0",4906.643222
40,"B0FFK4CQ2L","Changzhou","武进区","B0FFGJ1NAK","Suzhou","常熟市",95.555,1.51666666666667,"JS",7,"12:00","day 0","24:00","day 0",2642.038658
41,"B0G13KYBJL","Nanjing","六合区","B0FFJ1CPHP","Shanghai","嘉定区",297.153,3.6,"JS",8,"08:00","day 0","20:00","day 0",3019.472752
